"Work_Geo_Short" "Res_Geo_Short" "Year" "Total" "Drove.alone" "X2.person.carpool" "X3.person.carpool" "X4.person.carpool" "X5.or.6.person.carpool" "X7.or.more.person.carpool" "Bus" "Streetcar.or.trolley" "Subway" "Railroad" "Ferry" "Bicycle" "Walked" "Taxi" "Motorcycle" "Other" "Worked.at.home" "Source" "src" "dst"
"Alameda" "Lake" 2016 45 45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 17 1
"Alameda" "Monterey" 2016 460 370 30 45 0 0 10 4 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 27 1
"Alameda" "Mariposa" 2016 35 10 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 22 1
"Alameda" "El Dorado" 2016 280 265 0 0 0 0 0 0 0 10 4 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 9 1
"Alameda" "Siskiyou" 2016 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 47 1
"Alameda" "Shasta" 2016 70 45 4 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 "CTPP_A302103_5YR_2016" 45 1
"Alameda" "San Francisco" 2016 22550 12155 1410 205 65 60 60 1705 105 5730 205 60 285 185 40 155 125 0 "CTPP_A302103_5YR_2016" 38 1
"Alameda" "Mendocino" 2016 65 60 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 23 1
"Alameda" "Yolo" 2016 590 475 20 0 20 15 0 0 0 0 45 0 4 0 0 0 10 0 "CTPP_A302103_5YR_2016" 57 1
"Alameda" "Tulare" 2016 45 45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 54 1
"Alameda" "Sierra" 2016 10 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 46 1
"Alpine" "Tuolumne" 2016 10 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 55 2
"Alpine" "Amador" 2016 40 35 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 "CTPP_A302103_5YR_2016" 3 2
"Alpine" "Sacramento" 2016 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 34 2
"Alpine" "Calaveras" 2016 35 15 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 5 2
"Alpine" "San Diego" 2016 80 80 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 37 2
